corpus,stratum,cluster_id,row_id,tool_calls,path_resolved_calls,mutation_calls,explore_calls,validation_attempts,recognized_successful_validations,has_mutation,prior_explore_calls,prior_path_explore_calls,any_prior_explore,eligible_transitions,same_path,same_module,cross_module,same_path_share,same_module_share,cross_module_share,observed_module_returns,return_gap_median_calls,return_gap_p90_calls,unique_target_paths,top_target_share,target_hhi,mutated_paths,mutated_path_read_before_share,mutated_path_mutated_again_share,resolved
ideatrail,default/train,paralinguistic-speech-analysis-survey,b4_419_2510_10444,76,52,7,69,0,0,True,39,15,True,51,17,21,13,0.3333333333333333,0.4117647058823529,0.2549019607843137,12,1.0,3.0,26,0.28846153846153844,0.11760355029585796,3,0.0,0.6666666666666666,A
ideatrail,default/train,reward-model-interpretability-validation,b4_596_2510_26202,89,58,9,80,0,0,True,24,11,True,57,6,32,19,0.10526315789473684,0.5614035087719298,0.3333333333333333,18,2.0,5.0,39,0.10344827586206896,0.039239001189060645,5,0.0,0.8,A
ideatrail,default/train,scalable-llm-tool-use-training,b3_125_2510_01179,87,64,13,74,0,0,True,40,17,True,63,25,25,13,0.3968253968253968,0.3968253968253968,0.20634920634920634,12,1.5,7.700000000000001,29,0.15625,0.07861328125,5,0.0,0.8,
ideatrail,default/train,synthetic-tool-use-training-data,b3_054_2509_13311,111,56,8,103,0,0,True,77,29,True,55,19,31,5,0.34545454545454546,0.5636363636363636,0.09090909090909091,4,1.5,2.0,25,0.23214285714285715,0.10331632653061223,4,0.0,0.5,None
ideatrail,default/train,temporal-spatial-reasoning-qa,b4_460_2510_13614,109,55,6,103,0,0,True,89,35,True,54,10,39,5,0.18518518518518517,0.7222222222222222,0.09259259259259259,4,1.5,3.4000000000000004,38,0.16363636363636364,0.0512396694214876,3,0.0,0.6666666666666666,A
ideatrail,default/train,temporally-consistent-dynamic-3d-reconstruction,b4_180_2509_20251,149,69,13,136,0,0,True,102,32,True,68,26,35,7,0.38235294117647056,0.5147058823529411,0.10294117647058823,6,3.0,12.5,31,0.11594202898550725,0.06028145347616047,4,0.0,1.0,A
ideatrail,default/train,token-compression-generative-models,b4_692_2511_15244,64,44,4,60,0,0,True,34,18,True,43,9,27,7,0.20930232558139536,0.627906976744186,0.16279069767441862,6,2.5,5.5,29,0.20454545454545456,0.07747933884297521,3,0.0,0.3333333333333333,A
ideatrail,default/train,training-time-reasoning-faithfulness,b4_118_2509_13351,87,48,6,81,0,0,True,44,18,True,47,9,25,13,0.19148936170212766,0.5319148936170213,0.2765957446808511,12,1.0,4.9,31,0.125,0.059027777777777776,3,0.0,1.0,A
ideatrail,default/train,transformer-structural-pruning-methods,b4_934_2601_06787,108,56,7,101,0,0,True,68,24,True,55,10,34,11,0.18181818181818182,0.6181818181818182,0.2,10,2.0,6.299999999999999,37,0.14285714285714285,0.049744897959183666,5,0.0,0.4,A
ideatrail,default/train,trustworthy-physics-informed-molecular-modeling,b4_415_2510_10248,96,50,10,86,0,0,True,59,22,True,49,15,27,7,0.30612244897959184,0.5510204081632653,0.14285714285714285,6,2.0,10.5,31,0.28,0.09920000000000001,5,0.0,0.2,A
ideatrail,default/train,vision-language-specialized-domain-adaptation,b3_088_2509_21976,83,50,6,77,0,0,True,35,13,True,49,10,32,7,0.20408163265306123,0.6530612244897959,0.14285714285714285,6,5.0,10.5,28,0.28,0.10400000000000001,4,0.0,0.25,None
ideatrail,default/train,visual-language-grounding-training,b3_116_2509_26625,84,58,8,76,0,0,True,33,18,True,57,19,31,7,0.3333333333333333,0.543859649122807,0.12280701754385964,6,2.0,15.5,33,0.1724137931034483,0.06599286563614745,4,0.0,1.0,None
ideatrail,default/train,visually-grounded-sequential-reasoning,b3_212_2510_22391,87,43,6,81,0,0,True,53,22,True,42,4,29,9,0.09523809523809523,0.6904761904761905,0.21428571428571427,8,1.5,5.6,32,0.09302325581395349,0.04272579772850189,4,0.0,0.5,None
ideatrail,default/train,world-models-long-horizon-planning,b2_017_2510_00739,110,66,16,94,0,0,True,48,20,True,65,15,29,21,0.23076923076923078,0.4461538461538462,0.3230769230769231,20,1.0,5.100000000000001,35,0.19696969696969696,0.07713498622589532,5,0.0,0.8,None
openswe,openhands/minimax_m25,aeye-lab__pymovements-408,e48e6c51-3548-4d4d-98f9-9861dd0818ae,54,47,17,25,0,0,True,12,11,True,46,10,23,13,0.21739130434782608,0.5,0.2826086956521739,11,6,11.0,21,0.14893617021276595,0.09076505205975553,11,0.45454545454545453,0.45454545454545453,1
openswe,openhands/minimax_m25,alexcrichton__futures-rs-151,e954ca45-5b65-47b7-b1a2-dec871a63627,88,55,52,59,21,0,True,18,17,True,54,22,15,17,0.4074074074074074,0.2777777777777778,0.3148148148148148,14,2.0,8.800000000000004,14,0.34545454545454546,0.17752066115702478,5,0.4,1.0,0
openswe,openhands/minimax_m25,apache__incubator-fluo-862,38302e48-687e-4be7-8f80-31d761558f70,46,36,17,19,0,0,True,2,1,True,35,11,19,5,0.3142857142857143,0.5428571428571428,0.14285714285714285,5,7,11.0,19,0.19444444444444445,0.10011574074074074,13,0.15384615384615385,0.5384615384615384,-1
openswe,openhands/minimax_m25,argoproj__argo-2645,0d355193-6260-445b-8872-0be40ba28aec,77,70,24,48,9,0,True,15,14,True,69,32,13,24,0.463768115942029,0.18840579710144928,0.34782608695652173,28,3.0,22.300000000000008,25,0.3892857142857143,0.18110544217687075,11,0.2727272727272727,0.8181818181818182,0
openswe,openhands/minimax_m25,asyncapi__modelina-554,275b3acf-9f71-4dab-9070-5f17e64d4829,23,17,12,8,1,0,True,5,3,True,16,6,1,9,0.375,0.0625,0.5625,7,2,3.200000000000001,6,0.5882352941176471,0.3910034602076125,2,0.5,0.5,1
openswe,openhands/minimax_m25,auth0__auth0.js-817,46689d4e-d6dd-45ff-a971-4535b78e20bb,106,63,68,65,41,0,True,14,13,True,62,19,23,20,0.3064516129032258,0.3709677419354839,0.3225806451612903,17,3,11.600000000000001,17,0.20634920634920634,0.12131519274376416,6,0.8333333333333334,0.8333333333333334,0
openswe,openhands/minimax_m25,axios__axios-5497,098ea46d-cedb-4600-9a11-67d66bef6129,96,75,49,37,8,0,True,8,6,True,74,33,7,34,0.44594594594594594,0.0945945945945946,0.4594594594594595,31,1,9.0,19,0.29333333333333333,0.1546962962962963,11,0.2727272727272727,0.7272727272727273,-1
openswe,openhands/minimax_m25,briannesbitt__carbon-2802,84752bcc-502e-4cb7-bb9d-2360fc57fd8c,45,38,15,21,0,0,True,5,4,True,37,12,4,21,0.32432432432432434,0.10810810810810811,0.5675675675675675,25,2,6.600000000000001,22,0.15789473684210525,0.08317174515235456,16,0.1875,0.4375,0
openswe,openhands/minimax_m25,callstack__react-native-paper-394,e075fdc3-1064-4579-8a6f-06a877d6b74c,39,22,7,23,7,0,True,10,8,True,21,3,17,1,0.14285714285714285,0.8095238095238095,0.047619047619047616,0,,,15,0.18181818181818182,0.09917355371900827,1,1.0,0.0,0
openswe,openhands/minimax_m25,cobalt-org__liquid-rust-556,cf687885-3ba1-4234-b5de-52f0432a6768,40,23,19,22,6,0,True,6,5,True,22,4,6,12,0.18181818181818182,0.2727272727272727,0.5454545454545454,10,2.0,4.199999999999999,13,0.30434782608695654,0.13988657844990549,6,0.3333333333333333,0.5,0
openswe,openhands/minimax_m25,cta-observatory__ctapipe-1883,774fa2ae-60db-4867-8d2b-f306f85d3c30,41,22,17,21,0,0,True,4,3,True,21,6,7,8,0.2857142857142857,0.3333333333333333,0.38095238095238093,7,2,4.4,11,0.36363636363636365,0.18491735537190082,6,0.5,0.3333333333333333,1
openswe,openhands/minimax_m25,dai-shi__waku-925,75f33d03-ef26-4406-8e1a-36405d56c47e,62,50,16,29,5,0,True,5,4,True,49,10,24,15,0.20408163265306123,0.4897959183673469,0.30612244897959184,15,2,11.599999999999998,31,0.23,0.11146666666666667,17,0.11764705882352941,0.35294117647058826,0
openswe,openhands/minimax_m25,dbt-athena__dbt-athena-324,1ec463ed-47ee-4d79-b495-657185986e8a,49,39,18,34,0,0,True,13,12,True,38,12,14,12,0.3157894736842105,0.3684210526315789,0.3157894736842105,10,3.0,8.699999999999998,16,0.3076923076923077,0.15927021696252466,10,0.4,0.7,1
openswe,openhands/minimax_m25,eslint__eslint-8270,2a1621c4-aba4-455a-9598-53a32c666e1b,71,65,43,54,1,0,True,4,3,True,64,34,13,17,0.53125,0.203125,0.265625,33,2,7.800000000000001,35,0.12692307692307692,0.0778224852071006,31,0.16129032258064516,0.6129032258064516,0
openswe,openhands/minimax_m25,eslint__eslint-8809,7e9ea768-6a7e-45db-9f00-09a078ab5b71,27,22,6,12,0,0,True,6,5,True,21,12,1,8,0.5714285714285714,0.047619047619047616,0.38095238095238093,7,3,7.200000000000001,7,0.36363636363636365,0.256198347107438,4,0.5,0.75,1
openswe,openhands/minimax_m25,go-webauthn__webauthn-359,3bad7c2c-1db4-4c76-9fae-678152d5041d,50,43,16,25,8,0,True,15,12,True,42,22,5,15,0.5238095238095238,0.11904761904761904,0.35714285714285715,22,2.0,5.800000000000004,14,0.22093023255813954,0.13115197404002163,5,0.2,0.8,0
openswe,openhands/minimax_m25,google__autocxx-306,cb4ae3b9-09a8-47c3-bd45-825024f5dcc5,73,58,34,46,16,0,True,14,13,True,57,33,15,9,0.5789473684210527,0.2631578947368421,0.15789473684210525,7,3,8.8,12,0.27586206896551724,0.1719678953626635,6,0.8333333333333334,0.6666666666666666,0
