project,worktree_id,previous_component,next_component,previous_sessions,next_sessions,gap_ms,next_action_count,no_observed_mutation,first_mutation_action_step,first_mutation_delay_ms,prefix_actions,predecessor_artifact_count,predecessor_module_count,next_mutated_artifact_count,next_mutated_module_count,artifact_overlap,module_overlap,prefix_predecessor_artifact,prefix_predecessor_module,prefix_other_resolved_artifact,prefix_other_resolved_scope,prefix_no_resolved_path,first_predecessor_mutated,first_predecessor_accessed,first_earlier_history,first_confirmed_create,first_first_observed_existing,first_unknown_lineage
academic-writing-skills,4725c74bf420,0,1,1,1,34377,3,True,,,0,13,3,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,1,2,1,1,216602285,36,False,20,137505,19,0,0,3,1,,,0,0,12,0,7,0,0,1,0,0,0
academic-writing-skills,4725c74bf420,2,3,1,1,59677142,9,False,6,92629,5,12,2,3,2,0.3333333333333333,1.0,0,3,0,0,2,0,0,0,0,1,0
academic-writing-skills,4725c74bf420,3,4,1,1,8164043,2,True,,,0,4,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,4,5,1,1,65588,2,True,,,0,2,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,5,6,1,1,179529,21,True,,,0,2,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,6,7,1,1,74533,4,True,,,0,2,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,7,8,1,1,5324394,7,True,,,0,2,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,8,9,1,1,74181727,8,True,,,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,9,10,1,1,1728064264,216,False,52,1301945,51,0,0,1,1,,,0,0,0,0,51,0,0,0,0,1,0
academic-writing-skills,4725c74bf420,10,11,1,1,296592667,12,True,,,0,2,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,11,12,1,1,132168,97,True,,,0,11,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,12,13,1,1,78798458,246,False,24,1582232,23,69,3,12,2,0.4166666666666667,1.0,6,4,0,0,13,0,0,0,0,1,0
academic-writing-skills,4725c74bf420,13,14,1,1,110560499,65,False,9,396048,8,26,3,5,1,0.8,1.0,1,2,0,0,5,0,0,0,0,1,0
academic-writing-skills,4725c74bf420,14,15,1,1,40488819,102,False,11,188059,10,8,1,10,1,0.5,1.0,4,0,0,0,6,1,0,0,0,0,0
academic-writing-skills,4725c74bf420,15,16,1,1,101337052,16,False,9,3940612,8,11,1,2,1,1.0,1.0,2,0,0,0,6,1,0,0,0,0,0
