task,dataset,query_family,view,max_depth,ranker,uses_hidden_fields,operations,positives,prevalence,groups,positive_groups,average_precision,ndcg,top5_precision,top5_recall,top5_f1,top5_work,budget30_recall,budget30_f1,budget30_work,work_to_first_positive,groups_to_50pct_recall,work_to_50pct_recall
agentnet_incorrect_step,agentnet,step-quality,induced_depth_4,4,width,False,14718,874,0.05938306835167822,8,8,0.06068478023417007,1.0,0.05934313016943708,0.8455377574370709,0.11090267877241691,0.8461068079902161,0.2917620137299771,0.10298869143780293,0.27707568963174345,0.2035602663405354,3,0.590365538796032
agentnet_incorrect_step,agentnet,step-quality,induced_depth_4,4,visible_risk,False,14718,874,0.05938306835167822,8,8,0.06308185202903209,0.781724565727518,0.0614,0.7025171624713958,0.11292992459076696,0.6794401413235494,0.30778032036613273,0.1053456040728412,0.28760701182225845,0.027041717624677265,5,0.6794401413235494
agentnet_incorrect_step,agentnet,step-quality,induced_depth_4,4,query_aware,False,14718,874,0.05938306835167822,8,8,0.0625676330745061,0.7504092866219573,0.0614,0.7025171624713958,0.11292992459076696,0.6794401413235494,0.30778032036613273,0.1053456040728412,0.28760701182225845,0.027041717624677265,5,0.6794401413235494
agentnet_incorrect_step,agentnet,step-quality,induced_depth_4,4,oracle_upper_bound,True,14718,874,0.05938306835167822,8,8,0.061137324575944584,0.9986530807141456,0.05934313016943708,0.8455377574370709,0.11090267877241691,0.8461068079902161,0.3306636155606407,0.10955269143290372,0.29908955021062644,0.19853240929474114,3,0.590365538796032
agentnet_incorrect_step,agentnet,step-quality,induced_depth_5,5,width,False,14718,874,0.05938306835167822,13,13,0.05934189179353736,0.9984470983376121,0.05787397963863157,0.7219679633867276,0.10715801986923665,0.740793586085066,0.32723112128146453,0.10866261398176291,0.2982742220410382,0.1780812610409023,4,0.617339312406577
agentnet_incorrect_step,agentnet,step-quality,induced_depth_5,5,visible_risk,False,14718,874,0.05938306835167822,13,13,0.061588502051140005,0.6399231944869094,0.06275212909009413,0.32036613272311215,0.10494752623688156,0.30316619105856774,0.2780320366132723,0.1036468330134357,0.2592064139149341,0.008764777823073788,10,0.6636771300448431
agentnet_incorrect_step,agentnet,step-quality,induced_depth_5,5,query_aware,False,14718,874,0.05938306835167822,13,13,0.06163719119914674,0.645865274225095,0.06275212909009413,0.32036613272311215,0.10494752623688156,0.30316619105856774,0.2780320366132723,0.1036468330134357,0.2592064139149341,0.008764777823073788,9,0.647030846582416
agentnet_incorrect_step,agentnet,step-quality,induced_depth_5,5,oracle_upper_bound,True,14718,874,0.05938306835167822,13,13,0.05995905479806102,0.9978283065040096,0.06081904226408022,0.7425629290617849,0.11242962321351235,0.7250305748063596,0.32723112128146453,0.10866261398176291,0.2982742220410382,0.1780812610409023,4,0.6014404130996059
agentnet_redundant_step,agentnet,step-quality,induced_depth_1,1,width,False,10067,733,0.07281215853779677,2,2,0.07293060616856538,1.0,0.07281215853779677,1.0,0.13574074074074075,1.0,0.1145975443383356,0.08828166053599579,0.11622131717492798,0.883778682825072,1,0.883778682825072
agentnet_redundant_step,agentnet,step-quality,induced_depth_1,1,visible_risk,False,10067,733,0.07281215853779677,2,2,0.07269557997516962,0.7029554788822692,0.07281215853779677,1.0,0.13574074074074075,1.0,0.1145975443383356,0.08828166053599579,0.11622131717492798,0.11622131717492798,2,1.0
agentnet_redundant_step,agentnet,step-quality,induced_depth_1,1,query_aware,False,10067,733,0.07281215853779677,2,2,0.07269557997516962,0.7029554788822692,0.07281215853779677,1.0,0.13574074074074075,1.0,0.1145975443383356,0.08828166053599579,0.11622131717492798,0.11622131717492798,2,1.0
agentnet_redundant_step,agentnet,step-quality,induced_depth_1,1,oracle_upper_bound,True,10067,733,0.07281215853779677,2,2,0.07293060616856538,1.0,0.07281215853779677,1.0,0.13574074074074075,1.0,0.1145975443383356,0.08828166053599579,0.11622131717492798,0.883778682825072,1,0.883778682825072
agentnet_redundant_step,agentnet,step-quality,induced_depth_2,2,width,False,10067,733,0.07281215853779677,4,4,0.07293218960695017,1.0,0.07281215853779677,1.0,0.13574074074074075,1.0,0.13096862210095497,0.0930683470673776,0.1321148306347472,0.8678851693652528,1,0.8678851693652528
agentnet_redundant_step,agentnet,step-quality,induced_depth_2,2,visible_risk,False,10067,733,0.07281215853779677,4,4,0.0721535982378996,0.4951998903421285,0.07281215853779677,1.0,0.13574074074074075,1.0,0.13096862210095497,0.0930683470673776,0.1321148306347472,0.05701797953710142,4,1.0
agentnet_redundant_step,agentnet,step-quality,induced_depth_2,2,query_aware,False,10067,733,0.07281215853779677,4,4,0.07177251979616636,0.5543371846464399,0.07281215853779677,1.0,0.13574074074074075,1.0,0.13096862210095497,0.0930683470673776,0.1321148306347472,0.05701797953710142,3,0.9407966623621734
agentnet_redundant_step,agentnet,step-quality,induced_depth_2,2,oracle_upper_bound,True,10067,733,0.07281215853779677,4,4,0.07293218960695017,1.0,0.07281215853779677,1.0,0.13574074074074075,1.0,0.13096862210095497,0.0930683470673776,0.1321148306347472,0.8678851693652528,1,0.8678851693652528
agentnet_redundant_step,agentnet,step-quality,induced_depth_3,3,width,False,10067,733,0.07281215853779677,6,6,0.07333955810373341,1.0,0.0729,0.9945429740791268,0.13584272803503214,0.9933445912387007,0.2073669849931787,0.10526315789473684,0.21406575941194,0.78593424058806,1,0.78593424058806
agentnet_redundant_step,agentnet,step-quality,induced_depth_3,3,visible_risk,False,10067,733,0.07281215853779677,6,6,0.07210989299084106,0.4792895015848866,0.07262112055720578,0.9672578444747613,0.13509908536585366,0.9698023244263435,0.2073669849931787,0.10526315789473684,0.21406575941194,0.06188536803417105,5,0.9698023244263435
agentnet_redundant_step,agentnet,step-quality,induced_depth_3,3,query_aware,False,10067,733,0.07281215853779677,6,6,0.07189067111811927,0.45574429423924717,0.07262112055720578,0.9672578444747613,0.13509908536585366,0.9698023244263435,0.2073669849931787,0.10526315789473684,0.21406575941194,0.024138273567100427,5,0.9698023244263435
