project,variant,threshold_value,threshold_unit,worktree_id,artifact_id,artifact_key,episode_ordinal,touch_count,mutation_touch_count,first_touch_event_index,last_touch_event_index,first_touch_ts_ms,last_touch_ts_ms,first_mutation_event_index,last_mutation_event_index,active_mutation_span_actions,active_mutation_span_hours,first_path,last_path
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000863,e58fce112c6eagentsight:a00000863,1,1,1,33123,33123,1781818677311,1781818677311,33123,33123,1,0.0,docs/visexp/paper/main.fls,docs/visexp/paper/main.fls
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000864,e58fce112c6eagentsight:a00000864,1,1,1,33123,33123,1781818677311,1781818677311,33123,33123,1,0.0,docs/visexp/paper/main.xdv,docs/visexp/paper/main.xdv
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000865,e58fce112c6eagentsight:a00000865,1,4,0,33138,33383,1781818733757,1781820670938,,,,,docs/visexp/r231_drift_root_cause_audit.py,docs/visexp/r231_drift_root_cause_audit.py
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000866,e58fce112c6eagentsight:a00000866,1,1,0,33142,33142,1781818760950,1781818760950,,,,,docs/visexp/out/drift-root-cause-r231/drift-root-cause-r231.json,docs/visexp/out/drift-root-cause-r231/drift-root-cause-r231.json
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000867,e58fce112c6eagentsight:a00000867,1,2,0,33143,33403,1781818760950,1781820739049,,,,,docs/visexp/out/drift-root-cause-r231/drift-samples-r231.csv,docs/visexp/out/drift-root-cause-r231/drift-samples-r231.csv
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000868,e58fce112c6eagentsight:a00000868,1,1,1,33153,33153,1781818805156,1781818805156,33153,33153,1,0.0,docs/visexp/__pycache__/r219_claim_readiness_gap_gate.cpython-312.pyc,docs/visexp/__pycache__/r219_claim_readiness_gap_gate.cpython-312.pyc
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000869,e58fce112c6eagentsight:a00000869,1,1,1,33153,33153,1781818805156,1781818805156,33153,33153,1,0.0,docs/visexp/__pycache__/r231_drift_root_cause_audit.cpython-312.pyc,docs/visexp/__pycache__/r231_drift_root_cause_audit.cpython-312.pyc
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000870,e58fce112c6eagentsight:a00000870,1,5,0,33224,34526,1781819428404,1781853104073,,,,,docs/visexp/out/external-crossrepo-lineage-r232/external-crossrepo-lineage-r232.md,docs/visexp/out/external-crossrepo-lineage-r232/external-crossrepo-lineage-r232.md
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000871,e58fce112c6eagentsight:a00000871,1,1,1,33292,33292,1781820240526,1781820240526,33292,33292,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000872,e58fce112c6eagentsight:a00000872,1,1,1,33292,33292,1781820240526,1781820240526,33292,33292,1,0.0,docs/visexp/paper/main.fdb_latexmk,docs/visexp/paper/main.fdb_latexmk
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000873,e58fce112c6eagentsight:a00000873,1,1,1,33292,33292,1781820240526,1781820240526,33292,33292,1,0.0,docs/visexp/paper/main.fls,docs/visexp/paper/main.fls
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000874,e58fce112c6eagentsight:a00000874,1,1,1,33292,33292,1781820240526,1781820240526,33292,33292,1,0.0,docs/visexp/paper/main.xdv,docs/visexp/paper/main.xdv
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000875,e58fce112c6eagentsight:a00000875,1,7,0,33297,33570,1781820269989,1781821898432,,,,,docs/visexp/r232_external_crossrepo_lineage.py,docs/visexp/r232_external_crossrepo_lineage.py
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000876,e58fce112c6eagentsight:a00000876,1,4,0,33332,33338,1781820358123,1781820427168,,,,,docs/visexp/out/external-crossrepo-lineage-r232/external-crossrepo-lineage-r232.json,docs/visexp/out/external-crossrepo-lineage-r232/external-crossrepo-lineage-r232.json
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000877,e58fce112c6eagentsight:a00000877,1,1,1,33356,33356,1781820568147,1781820568147,33356,33356,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000878,e58fce112c6eagentsight:a00000878,1,1,1,33356,33356,1781820568147,1781820568147,33356,33356,1,0.0,docs/visexp/paper/main.fdb_latexmk,docs/visexp/paper/main.fdb_latexmk
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000879,e58fce112c6eagentsight:a00000879,1,1,1,33356,33356,1781820568147,1781820568147,33356,33356,1,0.0,docs/visexp/paper/main.fls,docs/visexp/paper/main.fls
