stratum_type,project,vendor,sequence_scope,sequence_granularity,from_family,to_family,count,conditional_probability,all_transition_share
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,read,56,0.006727534839019702,0.00031217771831535524
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,search,2,0.0002402691013935608,1.1149204225548402e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,shell:build/check,43,0.005165785679961557,0.00023970789084929063
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,shell:container/orchestration,47,0.005646323882748679,0.00026200629930038744
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,shell:data/analysis/runtime,2567,0.30838539163863526,0.014310003623491373
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,shell:filesystem/navigation,206,0.024747717443536762,0.0011483680352314854
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,shell:git/repository,482,0.05790485343584815,0.002686958218357165
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,shell:lint/format,39,0.004685247477174435,0.00021740948239819382
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,shell:network/remote,53,0.006367131186929361,0.0002954539119770326
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,shell:other,590,0.07087938491110043,0.0032890152465367786
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,shell:package/dependency,4,0.0004805382027871216,2.2298408451096803e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,shell:process/system,221,0.026549735703988466,0.0012319870669230983
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,shell:search/text,1995,0.2396684286400769,0.01112133121498453
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,shell:test,167,0.020062469966362326,0.0009309585528332915
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,task,57,0.006847669389716483,0.0003177523204281294
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,tool discovery,1,0.0001201345506967804,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,wait/control,1171,0.14067755886592984,0.006527859074058589
