stratum_type,project,vendor,scope,preceding_tool_family,gaps,gap_ms_p50,gap_ms_p90,gap_ms_p95,gap_ms_p99,gap_ms_max,gap_le_1s_share,gap_le_10s_share,gap_gt_60s_count,gap_gt_60s_share,gap_gt_10m_count,gap_gt_10m_share,share_of_stratum_gaps_gt_60s
project_vendor,academic-writing-skills,claude,all_adjacent,skill,1,10204.0,10204.0,10204.0,10204.0,10204,0.0,0.0,0,0.0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,all_adjacent,task,7,8978.0,304813.6000000001,378728.7999999998,437860.95999999985,452644,0.0,0.5714285714285714,2,0.2857142857142857,0,0.0,0.02631578947368421
project_vendor,academic-writing-skills,claude,all_adjacent,tool discovery,3,7960.0,9604.8,9810.4,9974.880000000001,10016,0.0,0.6666666666666666,0,0.0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,all_adjacent,write,16,14502.0,48391.5,1095338.25,3580680.449999999,4202016,0.0,0.375,1,0.0625,1,0.0625,0.013157894736842105
project_vendor,academic-writing-skills,claude,same_prompt,ALL,813,3857.0,18170.600000000013,33317.19999999998,67899.4,164375,0.18327183271832717,0.7835178351783518,14,0.017220172201722016,0,0.0,1.0
project_vendor,academic-writing-skills,claude,same_prompt,edit,349,3129.0,11238.2,18029.99999999998,35177.399999999994,64682,0.05730659025787966,0.8681948424068768,1,0.0028653295128939827,0,0.0,0.07142857142857142
project_vendor,academic-writing-skills,claude,same_prompt,fetch,2,34243.0,61331.799999999996,64717.899999999994,67426.78000000001,68104,0.5,0.5,1,0.5,0,0.0,0.07142857142857142
project_vendor,academic-writing-skills,claude,same_prompt,other,2,7014.5,10428.500000000002,10855.25,11196.65,11282,0.0,0.5,0,0.0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,same_prompt,read,192,941.5,17543.50000000001,42137.24999999998,110000.7500000001,164375,0.53125,0.828125,5,0.026041666666666668,0,0.0,0.35714285714285715
project_vendor,academic-writing-skills,claude,same_prompt,search,4,12191.0,27025.9,27713.949999999997,28264.389999999996,28402,0.5,0.5,0,0.0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,same_prompt,shell,244,7033.5,25465.10000000001,48752.599999999984,80961.70999999999,145474,0.09836065573770492,0.6516393442622951,7,0.028688524590163935,0,0.0,0.5
project_vendor,academic-writing-skills,claude,same_prompt,skill,1,10204.0,10204.0,10204.0,10204.0,10204,0.0,0.0,0,0.0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,same_prompt,task,5,8716.0,10403.6,10878.8,11258.960000000001,11354,0.0,0.8,0,0.0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,same_prompt,tool discovery,3,7960.0,9604.8,9810.4,9974.880000000001,10016,0.0,0.6666666666666666,0,0.0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,same_prompt,write,11,8601.0,29367.0,29980.0,30470.4,30593,0.0,0.5454545454545454,0,0.0,0,0.0,0.0
project,agentsight,ALL,all_adjacent,ALL,96439,6896.0,32762.199999999997,47464.19999999998,189536.47999999952,239182545,0.23594189072885452,0.6366096703615757,3770,0.03909206856147409,420,0.004355084561225231,1.0
project,agentsight,ALL,all_adjacent,coordination,5916,31942.0,64952.0,99297.5,326388.75000000023,30252086,0.007099391480730223,0.2718052738336714,805,0.13607167004732929,39,0.006592292089249493,0.21352785145888595
project,agentsight,ALL,all_adjacent,edit,7088,7244.0,23436.6,35770.99999999999,95024.65000000027,47020721,0.0029627539503386006,0.6750846501128668,168,0.023702031602708805,8,0.001128668171557562,0.04456233421750663
