stratum_type,project,vendor,tool_family,analysis_scope,window,behavior,count,share,failed_calls
project,ActPlane,ALL,wait/control,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,40,0.08565310492505353,467
project,ActPlane,ALL,wait/control,same_prompt_source_stream,next_call,switch_to:edit,24,0.05139186295503212,467
project,ActPlane,ALL,wait/control,same_prompt_source_stream,next_call,switch_to:plan/goal,6,0.01284796573875803,467
project,ActPlane,ALL,wait/control,same_prompt_source_stream,next_call,switch_to:shell,221,0.4732334047109208,467
project,ActPlane,ALL,write,same_prompt_source_stream,next_call,switch_to:read,3,0.6,5
project,ActPlane,ALL,write,same_prompt_source_stream,next_call,switch_to:shell,2,0.4,5
project_vendor,ActPlane,claude,coordination,same_prompt_source_stream,next_call,end_of_prompt,1,1.0,1
project_vendor,ActPlane,claude,edit,same_prompt_source_stream,next_call,end_of_prompt,17,0.09392265193370165,181
project_vendor,ActPlane,claude,edit,same_prompt_source_stream,next_call,exact_retry_not_success,12,0.06629834254143646,181
project_vendor,ActPlane,claude,edit,same_prompt_source_stream,next_call,exact_retry_success,9,0.049723756906077346,181
project_vendor,ActPlane,claude,edit,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,5,0.027624309392265192,181
project_vendor,ActPlane,claude,edit,same_prompt_source_stream,next_call,switch_to:read,113,0.6243093922651933,181
project_vendor,ActPlane,claude,edit,same_prompt_source_stream,next_call,switch_to:shell,25,0.13812154696132597,181
project_vendor,ActPlane,claude,fetch,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,13,0.7222222222222222,18
project_vendor,ActPlane,claude,fetch,same_prompt_source_stream,next_call,switch_to:search,5,0.2777777777777778,18
project_vendor,ActPlane,claude,plan/goal,same_prompt_source_stream,next_call,switch_to:edit,3,0.5,6
project_vendor,ActPlane,claude,plan/goal,same_prompt_source_stream,next_call,switch_to:read,2,0.3333333333333333,6
project_vendor,ActPlane,claude,plan/goal,same_prompt_source_stream,next_call,switch_to:shell,1,0.16666666666666666,6
project_vendor,ActPlane,claude,read,same_prompt_source_stream,next_call,end_of_prompt,1,0.03333333333333333,30
project_vendor,ActPlane,claude,read,same_prompt_source_stream,next_call,exact_retry_not_success,1,0.03333333333333333,30
project_vendor,ActPlane,claude,read,same_prompt_source_stream,next_call,exact_retry_success,4,0.13333333333333333,30
project_vendor,ActPlane,claude,read,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,8,0.26666666666666666,30
project_vendor,ActPlane,claude,read,same_prompt_source_stream,next_call,switch_to:edit,1,0.03333333333333333,30
project_vendor,ActPlane,claude,read,same_prompt_source_stream,next_call,switch_to:shell,14,0.4666666666666667,30
project_vendor,ActPlane,claude,read,same_prompt_source_stream,next_call,switch_to:write,1,0.03333333333333333,30
project_vendor,ActPlane,claude,search,same_prompt_source_stream,next_call,end_of_stream,1,0.2,5
project_vendor,ActPlane,claude,search,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,4,0.8,5
project_vendor,ActPlane,claude,shell,same_prompt_source_stream,next_call,end_of_prompt,30,0.13157894736842105,228
project_vendor,ActPlane,claude,shell,same_prompt_source_stream,next_call,end_of_stream,8,0.03508771929824561,228
project_vendor,ActPlane,claude,shell,same_prompt_source_stream,next_call,exact_retry_not_success,2,0.008771929824561403,228
project_vendor,ActPlane,claude,shell,same_prompt_source_stream,next_call,exact_retry_success,1,0.0043859649122807015,228
project_vendor,ActPlane,claude,shell,same_prompt_source_stream,next_call,generic_shell_changed_command_different_class,82,0.35964912280701755,228
project_vendor,ActPlane,claude,shell,same_prompt_source_stream,next_call,generic_shell_changed_command_same_class,87,0.3815789473684211,228
project_vendor,ActPlane,claude,shell,same_prompt_source_stream,next_call,same_family_changed_tool_or_arguments,1,0.0043859649122807015,228
